Unnamed: 0;Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor_M_quadrado;Tipo Agregado
115;Apartamento;Botafogo;3;1;1;100;5500.0;1300.0;220.0;55.0;Apartamento
116;Apartamento;Barra da Tijuca;4;2;3;320;5500.0;2700.0;800.0;17.19;Apartamento
119;Apartamento;Ipanema;2;0;2;52;10000.0;3689.0;393.0;192.31;Apartamento
122;Apartamento;Barra da Tijuca;2;1;1;72;2600.0;1700.0;237.0;36.11;Apartamento
124;Apartamento;Botafogo;4;1;1;190;5500.0;1720.0;350.0;28.95;Apartamento
131;Apartamento;Tijuca;3;0;0;87;1600.0;650.0;100.0;18.39;Apartamento
132;Apartamento;Botafogo;1;0;0;35;1500.0;470.0;50.0;42.86;Apartamento
135;Apartamento;Copacabana;3;0;0;100;3300.0;850.0;90.0;33.0;Apartamento
136;Apartamento;Barra da Tijuca;3;1;2;93;2500.0;1100.0;0.0;26.88;Apartamento
138;Apartamento;Barra da Tijuca;2;1;1;85;2500.0;1573.0;197.0;29.41;Apartamento
139;Apartamento;Leblon;2;1;1;115;7500.0;980.0;270.0;65.22;Apartamento
140;Apartamento;Botafogo;2;1;1;70;3700.0;1133.0;147.0;52.86;Apartamento
144;Apartamento;Flamengo;1;0;0;40;1900.0;430.0;54.0;47.5;Apartamento
146;Apartamento;Copacabana;3;2;1;250;7000.0;1500.0;434.0;28.0;Apartamento
148;Apartamento;Copacabana;3;1;0;140;3700.0;1347.0;0.0;26.43;Apartamento
149;Apartamento;Copacabana;2;0;0;50;2500.0;750.0;760.0;50.0;Apartamento
151;Apartamento;Tijuca;3;1;1;78;2500.0;730.0;178.0;32.05;Apartamento
155;Apartamento;Tijuca;1;0;0;65;1200.0;320.0;0.0;18.46;Apartamento
156;Apartamento;Barra da Tijuca;2;1;0;60;1500.0;1266.0;233.0;25.0;Apartamento
157;Apartamento;Copacabana;4;1;2;210;13000.0;2200.0;650.0;61.9;Apartamento
159;Apartamento;Barra da Tijuca;2;1;1;83;2000.0;1548.0;260.0;24.1;Apartamento
161;Apartamento;Barra da Tijuca;3;1;1;84;1900.0;1103.0;212.0;22.62;Apartamento
164;Apartamento;Tijuca;3;0;0;75;1800.0;350.0;0.0;24.0;Apartamento
165;Apartamento;Ipanema;3;1;1;126;5500.0;1400.0;2000.0;43.65;Apartamento
170;Apartamento;Tijuca;2;1;1;71;1500.0;600.0;0.0;21.13;Apartamento
171;Apartamento;Barra da Tijuca;2;1;1;81;1900.0;1200.0;121.0;23.46;Apartamento
173;Apartamento;Leblon;3;1;0;87;3800.0;970.0;273.0;43.68;Apartamento
177;Apartamento;Leblon;2;1;0;70;4200.0;1100.0;200.0;60.0;Apartamento
180;Apartamento;Barra da Tijuca;3;3;2;169;6500.0;1886.0;450.0;38.46;Apartamento
